DESCRIPTION,USERID,USERNAME,USER_PARENT_ID,OPENDATE,ACCOUNT_BLOCK_REASONS,DESCRIPTION,SKIN,ACCOUNTTYPENAME,REALBALANCE,VERIFIEDPLAYER,VERIFIED_BANK_DETAILS,MOBILE_VERIFICATION,BR_ID,BR_NAME
Regular,18325576,oladid,,2024-12-18 08:15:28,",1343,1292,1291,1290,1020,1090,1100,1161,",Verification required,BacanaPlay.bet.br,Registered User,0.0,0,0,1,1100,CDD Request
Regular,18325576,oladid,,2024-12-18 08:15:28,",1343,1292,1291,1290,1020,1090,1100,1161,",Verification required,BacanaPlay.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18415132,vastest515,,2024-12-31 16:03:17,",1290,1020,1291,1161,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2,1290,Missing Copy of ID
Regular,18415132,vastest515,,2024-12-31 16:03:17,",1290,1020,1291,1161,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2,1020,NON Verified at registration
Regular,18415132,vastest515,,2024-12-31 16:03:17,",1290,1020,1291,1161,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2,1291,Missing Copy of Address
Regular,18415132,vastest515,,2024-12-31 16:03:17,",1290,1020,1291,1161,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2,1161,Duplicate Account
Regular,18413448,puazbr311204,3588721.0,2024-12-31 07:38:49,",1343,1327,",Additional verification needed,PlayUZU.bet.br,Registered User,0.0,1,0,2,1343,Bank Account Details Required
Regular,18413448,puazbr311204,3588721.0,2024-12-31 07:38:49,",1343,1327,",Additional verification needed,PlayUZU.bet.br,Registered User,0.0,1,0,2,1327,Temporary Closed Account (Reversible)
Regular,18413325,puazbr311202,3588708.0,2024-12-31 07:05:48,",1343,1301,",Additional verification needed,PlayUZU.bet.br,Registered User,0.0,1,0,2,1343,Bank Account Details Required
Regular,18413325,puazbr311202,3588708.0,2024-12-31 07:05:48,",1343,1301,",Additional verification needed,PlayUZU.bet.br,Registered User,0.0,1,0,2,1301,Fraud
Regular,18415206,vastest519,,2024-12-31 16:21:18,",1020,1291,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2,1020,NON Verified at registration
Regular,18415206,vastest519,,2024-12-31 16:21:18,",1020,1291,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2,1291,Missing Copy of Address
Regular,18415206,vastest519,,2024-12-31 16:21:18,",1020,1291,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2,1290,Missing Copy of ID
Regular,18332132,tonbcbr0,,2024-12-19 11:10:33,",1290,1010,1017,1343,1016,1020,1012,1011,1291,1090,1100,1019,",Verification required,BacanaPlay.bet.br,Registered User,0.0,0,0,2,1290,Missing Copy of ID
Regular,18332132,tonbcbr0,,2024-12-19 11:10:33,",1290,1010,1017,1343,1016,1020,1012,1011,1291,1090,1100,1019,",Verification required,BacanaPlay.bet.br,Registered User,0.0,0,0,2,1010,Player/Support Block Promo Phone
Regular,18332132,tonbcbr0,,2024-12-19 11:10:33,",1290,1010,1017,1343,1016,1020,1012,1011,1291,1090,1100,1019,",Verification required,BacanaPlay.bet.br,Registered User,0.0,0,0,2,1017,Player/Support Block Promo WEB
Regular,18332132,tonbcbr0,,2024-12-19 11:10:33,",1290,1010,1017,1343,1016,1020,1012,1011,1291,1090,1100,1019,",Verification required,BacanaPlay.bet.br,Registered User,0.0,0,0,2,1343,Bank Account Details Required
Regular,18332132,tonbcbr0,,2024-12-19 11:10:33,",1290,1010,1017,1343,1016,1020,1012,1011,1291,1090,1100,1019,",Verification required,BacanaPlay.bet.br,Registered User,0.0,0,0,2,1016,Player/Support Block Promo Post
Regular,18332132,tonbcbr0,,2024-12-19 11:10:33,",1290,1010,1017,1343,1016,1020,1012,1011,1291,1090,1100,1019,",Verification required,BacanaPlay.bet.br,Registered User,0.0,0,0,2,1020,NON Verified at registration
Regular,18332132,tonbcbr0,,2024-12-19 11:10:33,",1290,1010,1017,1343,1016,1020,1012,1011,1291,1090,1100,1019,",Verification required,BacanaPlay.bet.br,Registered User,0.0,0,0,2,1012,Player/Support Block Promo Email
