DESCRIPTION,USERID,USERNAME,USER_PARENT_ID,OPENDATE,ACCOUNT_BLOCK_REASONS,DESCRIPTION,SKIN,ACCOUNTTYPENAME,REALBALANCE,VERIFIEDPLAYER,VERIFIED_BANK_DETAILS,MOBILE_VERIFICATION
Regular,18441129,Rafasorte,,2025-01-04 09:24:06,",1020,1292,1291,1290,1343,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,1
Regular,18438216,jeanfofo,,2025-01-03 23:40:58,",1020,1291,1290,1343,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18424457,Vitorh0612,,2025-01-01 23:29:22,",1291,1290,1020,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18424921,Silgmk,,2025-01-02 00:46:51,",1291,1290,1020,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18428742,gableo_ga23,,2025-01-02 17:34:32,",1010,1017,1011,1290,1291,1020,1012,1016,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18440678,tougui_ou85,,2025-01-04 06:38:46,",1343,1020,1011,1016,1012,1291,1290,1017,1010,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18430741,padlis_sl52,,2025-01-02 22:30:20,",1291,1290,1020,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18442227,Letymatias24,,2025-01-04 14:57:56,",1020,1291,1290,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18436317,wellytanias2,,2025-01-03 19:23:26,",1020,1291,1290,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18426543,Mauracurtolo,,2025-01-02 06:44:35,",1291,1290,1020,1343,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18429680,Rosa3812,,2025-01-02 20:00:33,",1020,1290,1343,1291,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18431075,Tedmax0909,,2025-01-02 23:12:47,",1020,1292,1290,1343,1291,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,1
Regular,18430880,fezaterka18,,2025-01-02 22:48:44,",1020,1016,1010,1290,1012,1291,1017,1011,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18425359,divo13mag,,2025-01-02 02:05:31,",1291,1343,1290,1020,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18425455,mirana_ma97,,2025-01-02 02:21:22,",1291,1290,1020,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18441451,Everton743,,2025-01-04 11:09:48,",1291,1020,1290,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18441897,rasmussen_77,,2025-01-04 13:30:53,",1020,1291,1290,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18443207,rodita_ar43,,2025-01-04 18:27:31,",1020,1012,1010,1016,1291,1011,1290,1017,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18427609,Genavamp23,,2025-01-02 13:36:54,",1020,1291,1292,1343,1290,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,1
Regular,18421515,andden_nn20,,2025-01-01 15:12:05,",1291,1290,1020,1343,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18438262,azefer_zf22,,2025-01-03 23:47:06,",1020,1291,1290,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18440807,cosdan_sd47,,2025-01-04 07:24:41,",1343,1020,1291,1290,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18426000,Shirleyfatim,,2025-01-02 04:14:45,",1291,1290,1020,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18436683,pollycamp,,2025-01-03 20:21:03,",1020,1291,1290,1019,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18438612,Paty4671,,2025-01-04 00:32:49,",1291,1020,1290,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18433925,Jhonnyvanda0,,2025-01-03 09:35:26,",1291,1016,1017,1020,1290,1011,1010,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18427304,segdan_ds82,,2025-01-02 11:56:41,",1020,1291,1290,1019,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18431350,Wesleyr95,,2025-01-02 23:52:58,",1291,1290,1020,1343,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
Regular,18443246,Gaby2006,,2025-01-04 18:35:15,",1020,1291,1290,1343,",Verification required,BacanaPlay.bet.br,Practice User,0.0,0,0,2
